province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Sao Paulo,Brazil,27/06/2021,"-23,5505","-46,6333",POINT(-46.6333 -23.5505),3696093,126050,3244856,325187,,,"Sao Paulo, Brazil"
Sergipe,Brazil,27/06/2021,"-10,5741","-37,3857",POINT(-37.3857 -10.5741),262447,5652,238862,17933,,,"Sergipe, Brazil"
Tocantins,Brazil,27/06/2021,"-10,1753","-48,2982",POINT(-48.2982 -10.1753),196509,3179,175769,17561,,,"Tocantins, Brazil"
,Brunei,27/06/2021,"4,5353","114,7277",POINT(114.7277 4.5353),259,3,245,11,,,Brunei
,Bulgaria,27/06/2021,"42,7339","25,4858",POINT(25.4858 42.7339),421531,18027,394125,9379,,,Bulgaria
,Burkina Faso,27/06/2021,"12,2383","-1,5616",POINT(-1.5616 12.2383),13478,168,13297,13,,,Burkina Faso
,Burma,27/06/2021,"21,9162","95,956",POINT(95.956 21.9162),153160,3297,135413,14450,,,Burma
,Burundi,27/06/2021,"-3,3731","29,9189",POINT(29.9189 -3.3731),5348,8,773,4567,,,Burundi
,Cabo Verde,27/06/2021,"16,5388","-23,0418",POINT(-23.0418 16.5388),32372,286,31416,670,,,Cabo Verde
,Cambodia,27/06/2021,"11,55","104,9167",POINT(104.9167 11.55),47649,540,42157,4952,,,Cambodia
,Cameroon,27/06/2021,"3,848","11,5021",POINT(11.5021 3.848),80487,1320,35261,43906,,,Cameroon
Alberta,Canada,27/06/2021,"53,9333","-116,5765",POINT(-116.5765 53.9333),231641,2293,227768,1580,,,"Alberta, Canada"
British Columbia,Canada,27/06/2021,"53,7267","-127,6476",POINT(-127.6476 53.7267),147418,1749,144554,1115,,,"British Columbia, Canada"
Diamond Princess,Canada,27/06/2021,,,,0,1,0,,,,"Diamond Princess, Canada"
Grand Princess,Canada,27/06/2021,,,,13,0,13,0,,,"Grand Princess, Canada"
Manitoba,Canada,27/06/2021,"53,7609","-98,8139",POINT(-98.8139 53.7609),55975,1139,53356,1480,,,"Manitoba, Canada"
